ma,ten_cong_ty
TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank)
HPG,Công ty cổ phần Tập đoàn Hòa Phát
FPT,Công ty Cổ phần FPT
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
VHM,Công ty cổ phần Vinhomes
